Segment,1D-CNN,LSTM,BiLSTM,CNN-LSTM,GRU,ANN,Selected
S88,0.3809367561455254,0.10445815363869147,0.1148594871352909,0.1271874695116949,0.2486069949736331,0.023951138595165237,1D-CNN
S89,0.2699268237478954,0.1597764856912185,0.16322149424978377,0.18828466905924604,0.1937457884045528,0.02504473884730478,1D-CNN
S90,0.21333162760707913,0.20392555174171204,0.20032668236445259,0.20730933672582832,0.1486759095759184,0.026430891985010002,1D-CNN
S91,0.23755228655670566,0.20175711330573676,0.18888229218498329,0.19238714564197668,0.14475925273167944,0.0346619095789183,1D-CNN
S92,0.26494073746106034,0.2138839403841418,0.18363536461215593,0.18011586842057628,0.12309169020464937,0.0343323989174157,1D-CNN
S93,0.18802358988779563,0.2209363003391483,0.2082602237109067,0.19339685494288938,0.15564234178539782,0.03374068933386192,LSTM
S94,0.25402643060151747,0.16400160643257247,0.18023373956779448,0.17311365290481204,0.186036815195514,0.04258775529779093,1D-CNN
S95,0.07480582589334502,0.18610470908044202,0.20000016137308874,0.2271972984163016,0.3027266714308835,0.00916533380594128,GRU
S96,0.05885690633835642,0.3013888827347684,0.25197446698157444,0.19715724332401338,0.18371234189441163,0.006910158726874731,LSTM
S97,0.0756636483211222,0.39907634982397816,0.23674891030355774,0.15418686943484752,0.12680606779318937,0.007518154323305665,LSTM
S98,0.20887787577565597,0.21834143403516892,0.2005016143484001,0.15341386199697604,0.17497379577465633,0.04389141806914173,LSTM
S99,0.3713543845384895,0.09853213153145852,0.1261193352263194,0.10475306635810071,0.2097700404681485,0.08947104187748373,1D-CNN
S100,0.5056137186420141,0.04894100157619619,0.07935088486898152,0.0911402087797807,0.25812200511340105,0.016832181019626847,1D-CNN
S101,0.19536373104262977,0.07860382274687958,0.10746876482891836,0.1546147137225892,0.44013509798712475,0.023813869671858428,GRU
S102,0.22271608935807677,0.14757347744184027,0.18530156748902651,0.19920134378010473,0.20813017887431556,0.03707734305663563,1D-CNN
S103,0.1776052163354713,0.1572191211645621,0.22129205364791132,0.1905816648053244,0.2253623044723313,0.027939639574398593,GRU
S104,0.03163769535790241,0.15251056295970924,0.1176520105910955,0.17179683148329752,0.5211019603351073,0.005300939272889807,GRU
S105,0.04719463849106529,0.19387428855799646,0.14561293111219617,0.14602156904038047,0.4601507642646742,0.007145808533687918,GRU
S106,0.029591245326123578,0.18311987559597875,0.12684586453383292,0.11383768847585873,0.5447072259725921,0.0018981000956157879,GRU
S107,0.020071250483369836,0.1260915250456501,0.13201490892786075,0.09995555189704172,0.6180660134302014,0.0038007502158774772,GRU
S108,0.06057288475962885,0.12271604911448289,0.2209111380729637,0.1883209261460327,0.39594893266598213,0.011530069240908969,GRU
S109,0.3124645881040637,0.13057771045248456,0.13092791566243775,0.13480206097574846,0.2683091440272352,0.022918580778029378,1D-CNN
S110,0.16234946087308688,0.21683220091769373,0.29371260678557215,0.15454235707593406,0.14047355792405689,0.032089816423656305,BiLSTM
S111,0.1987050192564578,0.15414012325571894,0.1521914116223347,0.13385934886461395,0.32579651088888406,0.03530758611199068,GRU
S112,0.12926096083344896,0.15055999584312,0.17443976819996304,0.11289272240669411,0.3968685325632654,0.03597802015350795,GRU
S113,0.1964804137913509,0.16440297421038083,0.1763841762250774,0.12700161892654852,0.3040035498613996,0.031727266985242523,GRU
S114,0.16491608627629042,0.15759001957504842,0.1746305431019419,0.1418238702937458,0.33808870502699356,0.022950775725980182,GRU
S115,0.1540114284139658,0.16987128283168917,0.2079631890858925,0.15685942383753698,0.2729205362311577,0.038374139599756926,GRU
S116,0.18494008036044435,0.1618364044207468,0.2268903781365467,0.15296640196311947,0.2384887444485243,0.03487799067061845,GRU
S117,0.1810967621952297,0.13967985250275408,0.25060088505697864,0.19540566443531782,0.20247783625140803,0.03073899955831056,BiLSTM
